id,sequence_id
637b8a3aca78022b19667155_T9,Africa|GHA|637b8a3aca78022b19667155|T9|2010-01-01
637b8a3aca7802630a6671bc_T9,Africa|GHA|637b8a3aca7802630a6671bc|T9|2011-01-01
C-KES-21-0086_T10,Africa|DRC|C-KES-21-0086|T10|2021-11-29
SRS17567786_T15,Africa|MWI|SRS17567786|T15|2023-01-01
CHS3692_T15,Africa|ZMB|CHS3692|T15|2024-01-09
CHS3759_T10,Africa|ZMB|CHS3759|T10|2024-01-04
CHS3760_T10,Africa|ZMB|CHS3760|T10|2024-01-24
CHS3874_T15,Africa|ZMB|CHS3874|T15|2024-01-24
NG-NRL-CHL-19-001_T12,Africa|NGA|NG-NRL-CHL-19-001|T12|2019-03-29
NG-NRL-CHL-18-281_T12,Africa|NGA|NG-NRL-CHL-18-281|T12|2018-10-24
NG-NRL-CHL-19-045_T12,Africa|NGA|NG-NRL-CHL-19-045|T12|2019-06-29
MWI-VC-29_T13,Africa|MWI|MWI-VC-29|T13|2018-01-01
MWI-VC-02_T13,Africa|MWI|MWI-VC-02|T13|2015-01-01
UG_20-2919_T13,Africa|UGA|UG_20-2919|T13|2020-06-15
ERR976425_T1,Africa|CIV|ERR976425|T1|1973-01-01
ERR976475_T1,Africa|SLE|ERR976475|T1|1970-01-01
ERR976427_T1,Africa|CIV|ERR976427|T1|1973-01-01
ERR976496_T2,America|BOL|ERR976496|T2|1992-01-01
ERR1879636_T5,Africa|BDI|ERR1879636|T5|1997-01-01
ERR976530_T5,Africa|BDI|ERR976530|T5|1993-01-01
ERR025390_T2,America|PER|ERR025390|T2|1991-01-01
ERR998715_T5,Africa|RWA|ERR998715|T5|1996-01-01
ERR025389_T2,America|PER|ERR025389|T2|1991-01-01
ERR976514_T7,Africa|BEN|ERR976514|T7|1991-01-01
ERR1878566_T9,Africa|NER|ERR1878566|T9|2008-01-01
ERR1879546_T7,Africa|GIN|ERR1879546|T7|1990-01-01
ERR998661_T7,Africa|MAR|ERR998661|T7|1994-01-01
ERR1877649_T6,Africa|DJI|ERR1877649|T6|2000-01-01
ERR1880783_T8,Africa|ZAF|ERR1880783|T8|2001-01-01
SRR227311_T11,Africa|ZWE|SRR227311|T11|2009-01-01
ERR1880784_T8,Africa|ZAF|ERR1880784|T8|2001-01-01
ERR1880774_T8,Africa|ZAF|ERR1880774|T8|2001-01-01
ERR3342505_T11,Africa|ZWE|ERR3342505|T11|2015-01-01
ERR1879387_T6,Africa|ETH|ERR1879387|T6|1998-01-01
SRR774784_T11,Africa|ZAF|SRR774784|T11|2009-01-01
